species	soil	water	fans	width	thick	leaf.length	curve	w.start	w.end	flower	relative.rhizome.growth	relative.fitness
I.petrana	sand	100	0.503077313	-0.818531029	-1.014987751	0.482060825	-0.471729063	14	23.5	0	1.678571429	0.720601592
I.atrofusca	sand	100	-0.942462268	0.116421262	-1.404994086	-0.105263282	0.087300095	10	14.1	0	1.41	0.605305338
I.atropurpurea	rendzina	100	-0.942462268	0.116421262	-0.429978249	-0.159645143	-0.651581774	12.1	11.2	0	0.925619835	0.397363565
I.atrofusca	sand	100	1.466770366	0.428072026	-1.014987751	-0.42067808	-0.52711175	12.2	24	0	1.967213115	0.8445139
I.petrana	rendzina	100	-0.460615741	-1.130181792	-1.599997254	-0.540318175	-0.348310838	12.1	11.2	0	0.925619835	0.397363565
I.petrana	sand	100	0.021230786	-1.441832556	-0.624981416	0.003500442	-0.222417462	10.5	16.2	0	1.542857143	0.662340187
I.mariae	loess	100	0.021230786	-1.441832556	-1.404994086	-1.562697176	-0.538084722	11.5	12.6	0	1.095652174	0.470357524
I.atropurpurea	sand	100	0.503077313	0.116421262	0.740040756	0.09051142	-0.406494087	10.6	21.1	0	1.990566038	0.854539183
I.atropurpurea	rendzina	100	-1.424308795	-0.506880265	-1.014987751	-0.431554452	-0.738833112	9.2	10.1	0	1.097826087	0.471290773
I.atrofusca	sand	100	-0.460615741	-0.195229501	-0.819984584	0.177522399	-0.273941908	10.6	19.9	0	1.877358491	0.805939798
I.petrana	rendzina	100	0.021230786	-0.818531029	-1.209990919	0.27540975	-0.510693523	6.8	8.5	0	1.25	0.536618207
I.atropurpurea	loess	100	-0.942462268	-0.195229501	-0.429978249	0.286286123	-0.477151179	13.9	16.5	0	1.18705036	0.509594269
I.mariae	rendzina	100	2.43046342	-0.818531029	-0.624981416	-1.236406005	0.520396114	12.4	19.5	0	1.572580645	0.675100325
I.atropurpurea	loess	100	-1.424308795	-0.195229501	-0.234975081	0.297162495	-0.366600253	9	12.5	0	1.388888889	0.596242452
I.atrofusca	rendzina	100	-1.424308795	0.73972279	-1.209990919	0.558195431	-0.613617721	7.7	10.2	0	1.324675325	0.568675918
I.atropurpurea	sand	100	0.503077313	-0.195229501	0.155031254	1.123766793	-0.277508491	13.2	28.7	0	2.174242424	0.933390457
I.atrofusca	rendzina	100	-0.942462268	-0.195229501	-0.819984584	1.689338155	-0.821640012	10.2	14.7	0	1.441176471	0.618689227
I.mariae	loess	100	0.021230786	-0.195229501	-0.429978249	-1.888988346	1.914627288	9.4	9.2	1	0.978723404	0.420160639
I.atropurpurea	sand	100	-0.460615741	0.428072026	-0.624981416	-0.333667101	-0.770415316	6.9	11.9	0	1.724637681	0.740377584
I.mariae	loess	100	0.021230786	-1.130181792	-0.234975081	-2.041257559	1.923918238	8.4	10.1	0	1.202380952	0.516175609
I.atropurpurea	sand	100	0.021230786	0.116421262	1.325050259	0.177522399	-0.66359367	13.3	20.6	1	1.54887218	0.66492241
I.atropurpurea	loess	100	-1.424308795	-0.195229501	-0.819984584	-0.42067808	-0.550620188	13.7	13.2	0	0.96350365	0.413626881
I.petrana	loess	100	-0.460615741	-1.130181792	-1.404994086	-0.159645143	-0.201191779	11.8	16.3	0	1.381355932	0.593008595
I.atropurpurea	sand	100	0.021230786	-1.130181792	-1.599997254	-0.768721995	-0.588561142	12.3	14.9	0	1.211382114	0.520039758
I.atropurpurea	loess	100	-0.460615741	0.116421262	-0.429978249	1.210777772	-0.552007361	10.8	23.3	0	2.157407407	0.926163276
I.atrofusca	loess	100	-0.942462268	-0.195229501	-1.014987751	0.231904261	-0.516188797	6.7	10	0	1.492537313	0.640738158
I.petrana	loess	100	0.021230786	-1.441832556	-1.990003589	-1.07326042	-0.280495426	9.6	10.6	0	1.104166667	0.47401275
I.atropurpurea	loess	100	-1.424308795	0.428072026	0.350034421	-0.181397888	-0.727997705	6.8	8.2	0	1.205882353	0.517678741
I.atropurpurea	loess	100	-0.460615741	0.73972279	-0.429978249	-0.692587388	-0.63973023	11.4	15.3	1	1.342105263	0.576158496
I.atrofusca	rendzina	100	-0.460615741	1.986325844	0.545037589	0.960621208	-0.525876804	10	16.3	0	1.63	0.699750142
I.atropurpurea	sand	100	-0.460615741	-0.195229501	-1.014987751	0.569071803	-0.618935607	11.5	20.7	0	1.8	0.772730218
I.atrofusca	sand	100	-1.424308795	-1.130181792	-0.429978249	-0.116139654	-0.488564653	9.1	16	0	1.758241758	0.754803632
I.petrana	sand	100	0.503077313	-1.130181792	-1.209990919	-1.07326042	-0.303099896	14.2	19.9	1	1.401408451	0.601617032
I.petrana	rendzina	100	0.98492384	-0.818531029	-1.014987751	0.036129559	-0.060018783	13.1	16.9	0	1.290076336	0.55382276
I.atrofusca	loess	100	-0.460615741	-0.195229501	-1.404994086	1.232530516	-0.724800776	10.6	20.1	0	1.896226415	0.814039695
I.petrana	rendzina	100	0.98492384	-0.195229501	-1.990003589	-1.11676591	-0.05820871	11.8	12.7	0	1.076271186	0.462037371
I.petrana	loess	100	0.98492384	-1.441832556	-2.380009924	0.014376814	-0.309842323	13.3	14.5	0	1.090225564	0.46802791
I.atrofusca	rendzina	100	0.021230786	0.428072026	-0.429978249	0.601700921	-0.77145083	9.8	19	0	1.93877551	0.83230579
I.atropurpurea	rendzina	100	-0.942462268	-0.818531029	-0.624981416	-0.19227426	-0.552535677	11.4	14.8	0	1.298245614	0.557329787
I.mariae	rendzina	100	0.98492384	-0.818531029	-0.624981416	-1.312540612	0.32563633	11.2	14.1	0	1.258928571	0.540451194
I.atropurpurea	loess	100	0.503077313	-0.506880265	-0.819984584	0.677835527	-0.451977063	12.7	17.5	0	1.377952756	0.59154763
I.mariae	sand	100	0.021230786	-0.818531029	-1.404994086	-0.409801707	0.451899069	12.2	18.6	0	1.524590164	0.654498272
I.atropurpurea	rendzina	100	-0.942462268	0.116421262	-1.014987751	0.427678963	-0.500580918	8.5	12.1	0	1.423529412	0.61111344
I.atrofusca	rendzina	100	-0.942462268	-0.818531029	-1.014987751	0.503813569	-0.538945207	7.1	9.6	0	1.352112676	0.580454624
I.atropurpurea	loess	100	-1.424308795	0.428072026	0.155031254	-0.072634165	-0.085435123	10.4	14.3	0	1.375	0.590280028
I.atrofusca	loess	100	-0.460615741	-0.195229501	-0.429978249	0.199275144	-0.529325598	8.6	10.6	0	1.23255814	0.529130511
I.mariae	sand	100	-1.424308795	-1.441832556	-1.014987751	-1.867235601	1.872446926	9.5	9.6	0	1.010526316	0.433813456
I.petrana	sand	100	0.021230786	-1.130181792	-0.624981416	0.862733857	-0.144054397	11	21.5	0	1.954545455	0.839075742
I.atropurpurea	loess	100	0.021230786	-1.130181792	-1.404994086	0.123140537	-0.512110548	12.5	13.1	0	1.048	0.449900705
I.atropurpurea	rendzina	100	-0.942462268	-0.195229501	-0.234975081	-0.398925335	-0.713832611	10.4	9.4	0	0.903846154	0.388016242
I.atrofusca	sand	100	-0.942462268	-0.195229501	-1.209990919	-0.431554452	-0.386454772	8.2	14.3	0	1.743902439	0.74864784
I.atropurpurea	rendzina	100	-0.460615741	-0.818531029	-0.819984584	0.27540975	-0.693927109	9.4	9.8	0	1.042553191	0.447562419
I.atrofusca	rendzina	100	-0.460615741	0.73972279	-0.819984584	-0.388048963	-0.26531215	10	9.6	0	0.96	0.412122783
I.atropurpurea	sand	100	0.021230786	-0.195229501	-0.819984584	0.144893282	-0.579616166	10.8	18.6	0	1.722222222	0.739340641
I.mariae	rendzina	100	-0.942462268	-1.130181792	-0.819984584	-0.833980229	0.140634939	7.2	7.4	0	1.027777778	0.441219415
I.petrana	sand	100	-1.424308795	-1.130181792	-1.599997254	-0.877485718	0.0954252	7.9	8.4	0	1.063291139	0.456465108
I.atropurpurea	loess	100	-0.942462268	0.116421262	0.935043924	0.31891524	-0.689087628	12.6	15.4	0	1.222222222	0.524693358
I.atropurpurea	sand	100	-0.942462268	1.674675081	-0.234975081	0.569071803	-0.839755261	6.9	11.7	1	1.695652174	0.727934263
I.petrana	loess	100	-0.942462268	-1.130181792	-1.599997254	-0.214027005	-0.483040999	12.9	13.6	0	1.054263566	0.45258962
I.atropurpurea	rendzina	100	-1.424308795	1.051373553	1.715056594	0.155769654	-0.444518661	12.4	13.5	0	1.088709677	0.467377148
I.atropurpurea	rendzina	100	0.503077313	-0.506880265	-0.039971914	0.775722878	-0.718007929	12.5	17	1	1.36	0.583840609
I.atrofusca	loess	100	-1.424308795	0.116421262	-0.429978249	-0.170521516	-0.563826048	10.8	13.4	0	1.240740741	0.532643257
I.mariae	loess	100	-0.460615741	0.116421262	0.545037589	-1.290787867	0.568334448	10.2	12.7	0	1.245098039	0.534513822
I.atropurpurea	rendzina	100	-1.424308795	0.116421262	-0.429978249	0.710464644	-0.632381268	9	10.2	0	1.133333333	0.486533841
I.atropurpurea	rendzina	100	1.466770366	-0.506880265	-1.209990919	-0.692587388	-0.495339751	12.6	15.1	0	1.198412698	0.514472059
I.atrofusca	loess	100	-0.942462268	0.116421262	-0.624981416	0.31891524	-0.518383616	6.9	10	0	1.449275362	0.622166037
I.mariae	sand	100	0.021230786	-1.75348332	-1.014987751	-2.160897655	1.703829398	11.6	14.7	0	1.267241379	0.544019837
I.petrana	loess	100	-1.424308795	-2.376784847	-2.185006756	-1.747595505	-0.765869852	7.5	7.4	0	0.986666667	0.423570638
I.mariae	loess	100	1.466770366	-1.130181792	-1.209990919	-2.367548729	1.892618139	10.5	13.4	0	1.276190476	0.547861636
I.petrana	loess	100	-0.942462268	-1.130181792	-1.014987751	-0.551194548	0.040440321	9.2	11.1	0	1.206521739	0.517953226
I.atropurpurea	loess	100	-0.942462268	-0.195229501	1.130047091	0.416802591	-0.640704785	11.6	14.1	0	1.215517241	0.521814946
I.atropurpurea	loess	100	-0.942462268	1.051373553	0.350034421	0.155769654	-0.769852466	14.8	15.2	1	1.027027027	0.440897121
I.atropurpurea	loess	100	-1.424308795	0.428072026	0.545037589	0.536442686	-0.702257369	13.5	16.8	0	1.244444444	0.534233237
I.atrofusca	sand	100	-0.942462268	-0.818531029	-1.990003589	-0.583823665	-0.648519006	8.8	9.7	0	1.102272727	0.473199692
I.atrofusca	sand	100	-0.942462268	0.116421262	-1.795000421	-0.681711016	-0.728193536	10.2	13.8	0	1.352941176	0.580810295
I.petrana	loess	100	-0.460615741	-0.506880265	-1.209990919	-0.899238463	0.145983285	11.3	11.8	0	1.044247788	0.4482899
I.atropurpurea	sand	100	-0.460615741	0.428072026	0.740040756	1.112890421	-0.779482562	10.2	24.6	0	2.411764706	1.035357482
I.atropurpurea	sand	100	-0.942462268	-0.506880265	-0.624981416	0.351544357	-0.617599323	11.5	16.9	0	1.469565217	0.630876362
I.mariae	loess	100	-0.942462268	0.116421262	1.130047091	-0.083510537	0.713278422	9.7	13.3	0	1.371134021	0.588620384
I.atrofusca	rendzina	100	-1.424308795	0.116421262	0.545037589	1.123766793	-0.780971333	12.8	19.9	0	1.5546875	0.667418895
I.mariae	rendzina	100	0.98492384	-0.195229501	-0.624981416	-1.388675218	1.14673591	10.9	12	0	1.100917431	0.47261787
I.petrana	sand	100	0.98492384	-1.130181792	-0.039971914	-0.485936314	0.191329039	11.3	18.8	1	1.663716814	0.714224587
I.petrana	rendzina	100	-0.460615741	-1.130181792	-0.234975081	1.319541495	-0.307705602	10.6	11.7	0	1.103773585	0.473844002
I.atropurpurea	loess	100	-0.942462268	1.674675081	0.155031254	1.091137676	-0.689661518	14.7	20.5	0	1.394557823	0.598676095
I.mariae	sand	100	0.503077313	-0.818531029	-0.624981416	-1.192900516	0.611333483	11.9	20.3	0	1.705882353	0.732326024
I.atrofusca	rendzina	100	0.021230786	1.051373553	1.325050259	2.635582549	-0.384194109	8.2	19.7	0	2.402439024	1.031354017
I.atropurpurea	rendzina	100	0.021230786	2.921278135	0.740040756	1.547945314	-0.427936617	12.6	27.9	1	2.214285714	0.950580824
I.atropurpurea	loess	100	-0.942462268	-0.506880265	-0.429978249	-0.60557641	-0.490401564	10.8	7.8	0	0.722222222	0.310046075
I.petrana	sand	100	-0.942462268	-0.506880265	0.350034421	-0.007375931	0.023146723	11.3	18.9	0	1.672566372	0.718023654
I.atrofusca	sand	100	-0.942462268	1.363024317	-0.039971914	0.482060825	-0.634850314	9.3	22.6	0	2.430107527	1.043231955
I.petrana	rendzina	100	-0.460615741	-1.130181792	-0.039971914	1.15639591	-0.379613934	9.4	15.3	0	1.627659574	0.69874541
I.mariae	rendzina	100	3.394156474	1.051373553	1.325050259	-0.572947292	0.776108156	7.8	15.7	1	2.012820513	0.864092908
I.petrana	sand	100	-1.424308795	0.116421262	0.935043924	0.579948176	-0.439602566	14.5	23.1	0	1.593103448	0.683910653
I.mariae	loess	100	-0.460615741	-0.818531029	-0.234975081	-1.399551591	0.661865476	8.6	11.2	0	1.302325581	0.559081295
I.petrana	loess	100	-0.942462268	-0.818531029	-0.429978249	0.764846506	-0.099518869	8.4	16.3	0	1.94047619	0.833035883
I.atropurpurea	rendzina	100	0.021230786	0.428072026	0.935043924	2.309291378	-0.65500697	11.8	26.6	1	2.254237288	0.967731817
I.mariae	sand	100	-0.942462268	-0.818531029	0.155031254	-0.181397888	0.049019816	10.9	15.9	1	1.458715596	0.626218678
I.atrofusca	loess	100	-1.424308795	0.73972279	0.740040756	1.700214527	-0.773772704	9.3	15.6	0	1.677419355	0.720107013
I.petrana	sand	100	-0.460615741	-1.130181792	-0.819984584	0.83010474	-0.656698599	9.3	14.3	1	1.537634409	0.660098096
I.atrofusca	rendzina	100	-1.424308795	0.428072026	-0.429978249	0.623453665	-0.552488932	7.1	9.7	0	1.366197183	0.586501026
I.atropurpurea	loess	100	-0.460615741	0.116421262	0.545037589	1.189025027	-0.168882813	11.3	18.3	0	1.619469027	0.695229252
I.atropurpurea	sand	100	-1.424308795	0.116421262	1.520053426	1.091137676	-0.643645548	6.2	12.5	0	2.016129032	0.865513237
I.petrana	loess	100	-0.460615741	-0.195229501	-1.209990919	0.373297101	-0.49813392	10.4	9.9	1	0.951923077	0.408655404
I.mariae	sand	100	0.98492384	-1.130181792	-0.429978249	-1.421304335	1.000757594	8.9	14.2	0	1.595505618	0.684941891
I.mariae	loess	100	0.503077313	1.051373553	0.545037589	0.297162495	-0.097002088	10.2	11.2	1	1.098039216	0.471382268
I.atropurpurea	rendzina	100	0.503077313	-0.506880265	-0.819984584	0.166646027	-0.429185295	8.8	11.9	0	1.352272727	0.580523333
I.atrofusca	loess	100	-0.460615741	0.116421262	-0.039971914	1.450057963	-0.552769273	8.8	14.8	0	1.681818182	0.721995406
I.mariae	sand	100	-1.424308795	-1.130181792	-1.014987751	-0.583823665	0.122125946	11.2	11.2	0	1	0.429294566
I.petrana	sand	100	-0.460615741	0.116421262	0.935043924	0.231904261	-0.058988897	9.5	15.9	0	1.673684211	0.718503536
I.atrofusca	loess	100	0.021230786	1.363024317	0.155031254	1.863360112	-0.477796206	14.8	26.2	0	1.77027027	0.759967407
I.atrofusca	loess	100	-0.460615741	-0.195229501	-0.819984584	0.492937197	-0.656078777	6.8	7.3	0	1.073529412	0.460860343
I.atrofusca	rendzina	100	-1.424308795	-0.506880265	-0.429978249	0.308038867	-0.327841135	7.6	9.3	0	1.223684211	0.525320982
I.atrofusca	loess	100	0.503077313	0.73972279	-1.209990919	0.31891524	-0.706130945	10.4	18.2	0	1.75	0.75126549
I.atropurpurea	sand	100	-0.942462268	0.428072026	0.155031254	-0.061757792	-0.538140948	10	16	0	1.6	0.686871305
I.atropurpurea	loess	100	-0.460615741	0.428072026	1.130047091	1.450057963	-0.679653603	9.4	16.8	0	1.787234043	0.767249862
I.mariae	loess	100	0.98492384	-1.75348332	-1.990003589	-1.649708154	0.573413278	13.8	15.3	0	1.108695652	0.475957018
I.petrana	rendzina	100	0.021230786	-0.506880265	-0.429978249	0.101387793	0.075855483	12	14.6	1	1.216666667	0.522308388
I.petrana	sand	100	0.021230786	0.116421262	-0.624981416	-0.105263282	0.201599712	13	22.8	1	1.753846154	0.752916623
I.mariae	sand	100	1.466770366	-1.130181792	-0.819984584	-0.583823665	1.09995966	10.6	20.5	0	1.933962264	0.83023949
I.atrofusca	sand	100	-0.460615741	-0.195229501	-0.429978249	1.167272282	-0.556679988	8.4	21.8	0	2.595238095	1.114121611
I.atrofusca	rendzina	100	-1.424308795	1.363024317	-0.039971914	0.329791612	-0.387397586	11.1	16	0	1.441441441	0.618802977
I.atrofusca	loess	100	-1.424308795	-0.506880265	-0.819984584	0.079635048	-0.62927466	6.9	7	0	1.014492754	0.435516226
I.atropurpurea	rendzina	100	0.503077313	-0.195229501	1.130047091	-0.224903378	0.034432734	7.6	11.6	0	1.526315789	0.655239074
I.petrana	rendzina	100	0.503077313	-1.75348332	-0.039971914	0.210151516	-0.743018232	12.5	17.3	0	1.384	0.594143679
I.mariae	sand	100	-0.942462268	-1.130181792	-0.624981416	-0.866609346	0.844436416	6	7.3	0	1.216666667	0.522308388
I.atrofusca	sand	100	-0.460615741	0.428072026	-0.429978249	-0.159645143	-0.519555648	11.4	17.1	0	1.5	0.643941848
I.petrana	rendzina	100	0.503077313	-0.506880265	-0.234975081	-0.627329154	-0.475485836	11.3	12.4	1	1.097345133	0.471084302
I.petrana	loess	100	-0.460615741	-1.75348332	-1.599997254	-0.88836209	0.147193039	7.1	7.8	1	1.098591549	0.471619382
I.atropurpurea	sand	100	-0.942462268	-1.130181792	-0.234975081	0.351544357	-0.828014426	11.6	22.1	0	1.905172414	0.817880164
I.petrana	rendzina	200	0.503077313	0.116421262	0.350034421	-0.105263282	0.069068278	12.6	27.5	1	2.182539683	0.936952425
I.atrofusca	rendzina	200	0.021230786	1.051373553	-1.795000421	-0.475059941	-0.157971055	12	28.7	0	2.391666667	1.026729503
I.atropurpurea	rendzina	200	0.021230786	1.363024317	2.105062929	0.97149758	-0.448121844	10.5	29.2	0	2.780952381	1.193847744
I.mariae	sand	200	-0.460615741	-1.130181792	-0.039971914	-1.236406005	0.540476838	9.4	16.7	0	1.776595745	0.762682898
I.atropurpurea	rendzina	200	-1.424308795	2.297976608	2.105062929	0.83010474	-0.427730858	13.9	30.3	0	2.179856115	0.935800384
I.atropurpurea	sand	200	-0.460615741	0.116421262	1.130047091	0.210151516	-0.490638361	7.9	18.2	0	2.303797468	0.989007733
I.atropurpurea	loess	200	-0.460615741	1.051373553	1.325050259	-0.072634165	-0.300457393	12.5	33.6	0	2.688	1.153943792
I.atropurpurea	rendzina	200	0.503077313	-0.195229501	1.130047091	0.993250325	-0.581339254	8.8	24.1	1	2.738636364	1.175681708
I.atrofusca	loess	200	0.021230786	1.051373553	1.130047091	2.50506608	-0.596763791	11.3	31.2	0	2.761061947	1.185308889
I.atrofusca	rendzina	200	-0.942462268	1.674675081	2.300066096	0.666959155	-0.506977793	7.7	30.8	0	4	1.717178262
I.atrofusca	loess	200	-0.942462268	2.297976608	1.715056594	2.515942453	-0.375015324	12.9	34.6	0	2.682170543	1.151441238
I.petrana	loess	200	0.021230786	-0.818531029	-0.234975081	0.743093761	-0.270211582	10.4	22.1	0	2.125	0.912250952
I.atrofusca	rendzina	200	-0.460615741	1.986325844	1.130047091	1.874236485	-0.610871708	9.5	37	0	3.894736842	1.671989361
I.petrana	sand	200	0.503077313	-0.818531029	-1.014987751	-0.333667101	0.108131779	12.6	30.9	0	2.452380952	1.052793816
I.atropurpurea	sand	200	-0.942462268	-0.195229501	-0.819984584	-0.910114835	-0.502312196	7	13.3	0	1.9	0.815659675
I.petrana	sand	200	0.021230786	-1.130181792	-2.380009924	0.025253186	-0.445752725	9.3	18.3	1	1.967741935	0.844740919
I.atropurpurea	loess	200	0.503077313	1.363024317	0.545037589	-0.072634165	-0.410393507	10.4	25.7	1	2.471153846	1.060852917
I.mariae	loess	200	1.948616893	-0.506880265	-0.429978249	-1.182024144	0.728023949	9.8	19	1	1.93877551	0.83230579
I.atrofusca	sand	200	0.021230786	1.363024317	-0.039971914	0.732217389	-0.600503719	10.9	44.9	0	4.119266055	1.768378532
I.atropurpurea	rendzina	200	-0.460615741	1.363024317	0.545037589	0.438555335	-0.530865153	8.6	28.4	0	3.302325581	1.417670426
I.atrofusca	sand	200	-0.942462268	0.116421262	-0.039971914	0.46030808	-0.505195722	6.3	19.9	0	3.158730159	1.356025691
I.atropurpurea	rendzina	200	2.43046342	1.674675081	2.105062929	0.677835527	-0.372056073	7.3	30.7	0	4.205479452	1.805389475
I.mariae	sand	200	0.503077313	-0.818531029	0.545037589	-1.81285374	0.897734916	11.6	18.4	0	1.586206897	0.680950001
I.atrofusca	loess	200	-0.942462268	0.73972279	1.910059761	1.221654144	-0.310510993	8.4	19.7	0	2.345238095	1.006797969
I.petrana	rendzina	200	3.394156474	-0.195229501	1.325050259	0.395049846	0.24605661	12.9	36.1	1	2.798449612	1.201359211
I.atrofusca	sand	200	-0.942462268	1.051373553	0.350034421	0.993250325	-0.617763235	6.9	24	0	3.47826087	1.493198489
I.atropurpurea	sand	200	-0.942462268	0.428072026	-0.819984584	-0.453307197	-0.709052861	14.8	17.6	0	1.189189189	0.510512456
I.mariae	rendzina	200	-0.942462268	0.116421262	1.715056594	-0.768721995	0.917453628	8.7	18	0	2.068965517	0.888195653
I.petrana	sand	200	0.503077313	-0.506880265	0.155031254	-0.507689058	0.601097543	12.5	18.7	1	1.496	0.64222467
I.petrana	sand	200	1.466770366	-1.130181792	-0.429978249	0.31891524	-0.38333091	10	22.9	1	2.29	0.983084555
I.petrana	rendzina	200	0.98492384	-1.130181792	-1.014987751	-0.203150633	-0.014320589	10.3	22.6	0	2.194174757	0.941947299
I.atropurpurea	loess	200	0.98492384	-0.506880265	-0.234975081	0.688711899	-0.537273893	13.8	33.4	0	2.420289855	1.039017282
I.atrofusca	rendzina	200	-0.942462268	-0.195229501	-0.234975081	1.286912378	-0.690665004	7.1	15.5	0	2.183098592	0.937192362
I.atrofusca	rendzina	200	0.503077313	0.73972279	-0.819984584	0.895362974	-0.25539462	9.7	28.3	0	2.917525773	1.252477959
I.mariae	rendzina	200	0.021230786	-1.130181792	-0.819984584	-0.083510537	-0.14619993	7.1	12.1	0	1.704225352	0.731614682
I.mariae	loess	200	-1.424308795	-1.130181792	-0.234975081	-1.649708154	0.862817371	10	13.4	0	1.34	0.575254718
I.petrana	loess	200	0.021230786	-0.195229501	0.350034421	-1.312540612	1.251754431	9.3	18.4	0	1.978494624	0.84935699
I.mariae	sand	200	1.948616893	-0.818531029	0.740040756	-2.030381186	2.117702859	12.7	23.9	0	1.881889764	0.807885049
I.mariae	sand	200	-0.460615741	0.73972279	1.325050259	-1.845482857	1.017961557	8.8	13.7	1	1.556818182	0.668333585
I.mariae	sand	200	-1.424308795	0.73972279	1.520053426	-2.704716272	8.652363779	7	13.5	1	1.928571429	0.827925234
I.petrana	sand	200	0.021230786	-1.130181792	-1.014987751	-0.572947292	-0.022918263	14.7	25.4	0	1.727891156	0.741774283
I.petrana	sand	200	0.021230786	-1.130181792	-2.185006756	-0.007375931	0.229437171	8.9	16.9	0	1.898876404	0.815177321
I.atrofusca	rendzina	200	0.021230786	1.051373553	0.155031254	1.787225506	-0.622731591	9.3	41	0	4.408602151	1.892588945
I.atropurpurea	rendzina	200	0.021230786	1.051373553	1.130047091	1.199901399	-0.539323877	11.5	23.8	1	2.069565217	0.888453101
I.mariae	loess	200	-0.942462268	0.116421262	1.325050259	-1.791100995	2.085865198	7.8	13.8	1	1.769230769	0.759521155
I.petrana	loess	200	-1.424308795	-1.75348332	-1.795000421	-1.171147771	-0.551266015	10.9	10	0	0.917431193	0.393848225
I.petrana	loess	200	-0.460615741	-1.130181792	-1.404994086	-0.301037984	0.313548084	9	16.4	0	1.822222222	0.782270097
I.petrana	sand	200	0.021230786	-0.818531029	1.715056594	-0.246656122	-0.169864811	8.3	22.1	0	2.662650602	1.143061434
I.petrana	rendzina	200	-0.460615741	-0.818531029	0.740040756	0.851857484	-0.16488202	12.3	20.7	0	1.682926829	0.722471342
I.atropurpurea	loess	200	-0.460615741	0.73972279	0.545037589	0.83010474	-0.591960408	8.8	18.7	0	2.125	0.912250952
I.atrofusca	sand	200	-0.942462268	1.051373553	0.740040756	0.395049846	-0.152069188	6.3	24.8	0	3.936507937	1.689921465
I.petrana	loess	200	0.021230786	-1.130181792	-0.039971914	-0.844856601	0.293215794	7.8	13.7	0	1.756410256	0.754017378
I.petrana	loess	200	0.503077313	-1.75348332	-1.599997254	-0.74696925	0.041064704	6.1	11.4	1	1.868852459	0.802288205
I.atrofusca	rendzina	200	0.503077313	0.116421262	1.715056594	2.233156772	-0.706971318	11.6	36.6	0	3.155172414	1.354498371
I.atrofusca	loess	200	0.021230786	0.116421262	-0.234975081	1.732843644	-0.560864961	8.5	21.8	0	2.564705882	1.101014298
I.mariae	loess	200	0.021230786	-1.130181792	0.350034421	-1.07326042	1.0804231	8.2	18.8	0	2.292682927	0.984236321
I.atropurpurea	loess	200	-0.942462268	1.051373553	0.740040756	1.199901399	-0.491455266	12.1	23.6	0	1.950413223	0.837301797
I.petrana	loess	200	-1.424308795	0.73972279	0.935043924	0.036129559	0.190803476	9.3	15.5	0	1.666666667	0.715490943
I.atrofusca	loess	200	0.021230786	-0.506880265	-1.014987751	0.862733857	-0.594298372	13	30.4	0	2.338461538	1.00388883
